iso3,year,funding_usd,ocha_data_flag
BHS,2019,30247979.0,ocha_reported
BHS,2020,4573545.0,ocha_reported
BHS,2021,399088.0,ocha_reported
BHS,2022,0.0,ocha_zero_no_flows
BHS,2023,373731.0,ocha_reported
BHS,2024,515693.0,ocha_reported
BLZ,2019,0.0,ocha_zero_no_flows
BLZ,2020,1606221.0,ocha_reported
BLZ,2021,687000.0,ocha_reported
BLZ,2022,5007922.0,ocha_reported
BLZ,2023,4828616.0,ocha_reported
BLZ,2024,4199915.0,ocha_reported
BRB,2019,0.0,ocha_zero_no_flows
BRB,2020,1910404.0,ocha_reported
BRB,2021,233894.0,ocha_reported
BRB,2022,1544200.0,ocha_reported
BRB,2023,791444.0,ocha_reported
BRB,2024,740047.0,ocha_reported
COL,2019,309277386.0,ocha_reported
COL,2020,520447814.0,ocha_reported
COL,2021,507025318.0,ocha_reported
COL,2022,488531209.0,ocha_reported
COL,2023,439560662.0,ocha_reported
COL,2024,463042413.0,ocha_reported
CRI,2019,4333657.0,ocha_reported
CRI,2020,9762846.0,ocha_reported
CRI,2021,16945411.0,ocha_reported
CRI,2022,22922763.0,ocha_reported
CRI,2023,25839315.0,ocha_reported
CRI,2024,23538884.0,ocha_reported
CUB,2019,3313899.0,ocha_reported
CUB,2020,5965379.0,ocha_reported
CUB,2021,986445.0,ocha_reported
CUB,2022,10679451.0,ocha_reported
CUB,2023,10332418.0,ocha_reported
CUB,2024,13001045.0,ocha_reported
DOM,2019,456541.0,ocha_reported
DOM,2020,14209656.0,ocha_reported
DOM,2021,6548852.0,ocha_reported
DOM,2022,9005991.0,ocha_reported
DOM,2023,13388427.0,ocha_reported
DOM,2024,13344369.0,ocha_reported
GTM,2019,22709289.0,ocha_reported
GTM,2020,54832741.0,ocha_reported
GTM,2021,118584871.0,ocha_reported
GTM,2022,88628750.0,ocha_reported
GTM,2023,69611275.0,ocha_reported
GTM,2024,85709007.0,ocha_reported
GUY,2019,3397899.0,ocha_reported
GUY,2020,10238713.0,ocha_reported
GUY,2021,2265694.0,ocha_reported
GUY,2022,4976760.0,ocha_reported
GUY,2023,3083698.0,ocha_reported
GUY,2024,2737915.0,ocha_reported
HND,2019,5249663.0,ocha_reported
HND,2020,45783870.0,ocha_reported
HND,2021,143034436.0,ocha_reported
HND,2022,137424848.0,ocha_reported
HND,2023,116415042.0,ocha_reported
HND,2024,123954398.0,ocha_reported
HTI,2019,80665258.0,ocha_reported
HTI,2020,220039087.0,ocha_reported
HTI,2021,231920416.0,ocha_reported
HTI,2022,244494301.0,ocha_reported
HTI,2023,361112164.0,ocha_reported
HTI,2024,365139264.0,ocha_reported
JAM,2019,0.0,ocha_zero_no_flows
JAM,2020,3499000.0,ocha_reported
JAM,2021,1000000.0,ocha_reported
JAM,2022,0.0,ocha_zero_no_flows
JAM,2023,0.0,ocha_zero_no_flows
JAM,2024,5338674.0,ocha_reported
NIC,2019,3110573.0,ocha_reported
NIC,2020,19133739.0,ocha_reported
NIC,2021,33154945.0,ocha_reported
NIC,2022,9672746.0,ocha_reported
NIC,2023,15864208.0,ocha_reported
NIC,2024,11376949.0,ocha_reported
PAN,2019,4278956.0,ocha_reported
PAN,2020,23818478.0,ocha_reported
PAN,2021,10516982.0,ocha_reported
PAN,2022,33584319.0,ocha_reported
PAN,2023,30120545.0,ocha_reported
PAN,2024,20416242.0,ocha_reported
PRI,2019,0.0,ocha_zero_structural
PRI,2020,0.0,ocha_zero_structural
PRI,2021,0.0,ocha_zero_structural
PRI,2022,0.0,ocha_zero_structural
PRI,2023,0.0,ocha_zero_structural
PRI,2024,0.0,ocha_zero_structural
SLV,2019,2505028.0,ocha_reported
SLV,2020,20026228.0,ocha_reported
SLV,2021,32864080.0,ocha_reported
SLV,2022,45986664.0,ocha_reported
SLV,2023,34483835.0,ocha_reported
SLV,2024,34308415.0,ocha_reported
SUR,2019,0.0,ocha_zero_no_flows
SUR,2020,460323.0,ocha_reported
SUR,2021,15723.0,ocha_reported
SUR,2022,219780.0,ocha_reported
SUR,2023,92234.0,ocha_reported
SUR,2024,65227.0,ocha_reported
TTO,2019,6004073.0,ocha_reported
TTO,2020,8371778.0,ocha_reported
TTO,2021,5698707.0,ocha_reported
TTO,2022,5026084.0,ocha_reported
TTO,2023,6359513.0,ocha_reported
TTO,2024,3694936.0,ocha_reported
VEN,2019,0.0,ocha_zero_structural
VEN,2020,0.0,ocha_zero_structural
VEN,2021,0.0,ocha_zero_structural
VEN,2022,0.0,ocha_zero_structural
VEN,2023,0.0,ocha_zero_structural
VEN,2024,0.0,ocha_zero_structural
