iso3,year,annual_venezuelan_displaced
COL,2019,4489260
COL,2020,4489260
COL,2021,5095536
COL,2022,10802988
COL,2023,7438332
COL,2024,7630140
CRI,2019,30000
CRI,2020,30000
CRI,2021,32700
CRI,2022,38712
CRI,2023,246120
CRI,2024,247164
DOM,2019,114048
DOM,2020,114048
DOM,2021,120948
DOM,2022,121476
DOM,2023,135180
DOM,2024,139824
GUY,2019,23304
GUY,2020,23304
GUY,2021,30300
GUY,2022,28920
GUY,2023,28452
GUY,2024,29976
PAN,2019,121836
PAN,2020,121836
PAN,2021,127644
PAN,2022,131844
PAN,2023,488484
PAN,2024,513600
TTO,2019,24168
TTO,2020,24168
TTO,2021,30768
TTO,2022,34116
TTO,2023,43728
TTO,2024,44760
